Time,BidPrice,BidVolume,AskPrice,AskVolume,midpoint,BestBidPrice,BestAskPrice,bids_distance_0,asks_distance_0,bids_notional_0,bids_notional_1,bids_notional_2,bids_notional_3,bids_notional_4,bids_notional_5,bids_notional_6,bids_notional_7,bids_notional_8,bids_notional_9,bids_notional_10,bids_notional_11,bids_notional_12,bids_notional_13,bids_notional_14,asks_notional_0,asks_notional_1,asks_notional_2,asks_notional_3,asks_notional_4,asks_notional_5,asks_notional_6,asks_notional_7,asks_notional_8,asks_notional_9,asks_notional_10,asks_notional_11,asks_notional_12,asks_notional_13,asks_notional_14,spread
2024-08-11 03:51:43,61003.68,0.14053,61003.69,2.04139,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,8572.847150399999,186.061102,19995.6682296,65.27307090000001,47.5820748,10.370380800000001,3920.5985399999995,8059.518179999999,20986.0777016,602.076909,239.7323187,6.100053,4608.584753,752.1339456000001,5874.323112,124532.3227291,1311.57955,21095.082918,3599.23423,5472.0588,19995.9173424,6714.7201863,12660.3655747,8003.856000000001,10525.8941462,6714.9227151000005,5472.2382,21095.878258,51.2453172,701.57475,0.010000000002037268
2024-08-11 03:51:44,61003.68,0.14053,61003.69,2.04142,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,8572.847150399999,186.061102,19995.6682296,65.27307090000001,47.5820748,10.370380800000001,3920.5985399999995,8059.518179999999,20986.0777016,602.076909,239.7323187,6.100053,4608.584753,752.1339456000001,5874.323112,124534.15283980001,1311.57955,21095.082918,3599.23423,5472.0588,6714.7201863,12660.3655747,8003.856000000001,10525.8941462,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:44,61003.68,0.14053,61003.69,2.04142,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,8572.847150399999,186.061102,19995.6682296,65.27307090000001,47.5820748,10.370380800000001,3920.5985399999995,8059.518179999999,20986.0777016,602.076909,239.7323187,6.100053,4608.584753,752.1339456000001,5874.323112,124534.15283980001,1311.57955,21095.082918,11.5907087,3599.23423,5472.0588,6714.7201863,12660.3655747,8003.856000000001,10525.8941462,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,0.010000000002037268
2024-08-11 03:51:44,61003.68,0.14053,61003.69,2.04078,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,8572.847150399999,186.061102,19995.6682296,65.27307090000001,47.5820748,10.370380800000001,3920.5985399999995,8059.518179999999,20986.0777016,602.076909,239.7323187,6.100053,4608.584753,752.1339456000001,5874.323112,124495.11047819999,1311.57955,21095.082918,11.5907087,1317.0720420000002,3599.23423,5472.0588,6714.7201863,12660.3655747,8003.856000000001,10525.8941462,6714.9227151000005,5472.2382,21095.878258,51.2453172,0.010000000002037268
2024-08-11 03:51:44,61003.68,0.14053,61003.69,2.04078,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,8572.847150399999,6.100364,19995.6682296,65.27307090000001,47.5820748,10.370380800000001,3920.5985399999995,8059.518179999999,20986.0777016,602.076909,6.100053,4608.584753,752.1339456000001,5874.323112,10.980039600000001,124495.11047819999,1311.57955,21095.082918,11.5907087,1317.0720420000002,3599.23423,5472.0588,6714.7201863,12660.3655747,8003.856000000001,10525.8941462,6714.9227151000005,5472.2382,21095.878258,51.2453172,0.010000000002037268
2024-08-11 03:51:45,61003.68,0.14358,61003.69,2.03815,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,8758.9083744,19995.6682296,65.27307090000001,47.5820748,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,20986.0777016,602.076909,6.100053,4608.584753,752.1339456000001,5874.323112,10.980039600000001,124334.6707735,1311.57955,21095.082918,11.5907087,1317.0720420000002,3599.23423,5472.0588,6714.7201863,12660.3655747,8003.856000000001,10525.8941462,6714.9227151000005,5472.2382,21095.878258,51.2453172,0.010000000002037268
2024-08-11 03:51:45,61003.68,0.5788,61003.69,1.50003,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,35308.929984,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,91507.3651107,1317.0698830000001,21095.082918,11.5907087,1317.0720420000002,3599.23423,5472.0588,6714.7201863,2762.9159971,8003.856000000001,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,0.010000000002037268
2024-08-11 03:51:45,61003.68,0.24229,61003.69,1.30221,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,14780.581627200001,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,3703.4478117,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,79439.6151549,1311.57955,21095.082918,11.5907087,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,0.010000000002037268
2024-08-11 03:51:45,61003.68,0.34229,61003.69,1.30221,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20880.9496272,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,3703.4478117,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,79439.6151549,1311.57955,21095.082918,11.5907087,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,0.010000000002037268
2024-08-11 03:51:46,61003.68,0.34199,61003.69,1.30221,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20862.6485232,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,79439.6151549,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:46,61003.68,0.34199,61003.69,1.3024,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20862.6485232,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,79451.205856,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:46,61003.68,0.34199,61003.69,1.3024,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20862.6485232,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,79451.205856,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:46,61003.68,0.34199,61003.69,1.30236,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20862.6485232,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,79448.7657084,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:47,61003.68,0.34199,61003.69,1.30236,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20862.6485232,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,79448.7657084,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:47,61003.68,0.34199,61003.69,1.26308,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20862.6485232,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,77052.5407652,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:47,61003.68,0.34278,61003.69,1.25244,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20910.8414304,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,76403.4615036,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:48,61003.68,0.33982,61003.69,1.2417,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20730.2705376,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75748.281873,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:48,61003.68,0.33982,61003.69,1.24532,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20730.2705376,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75969.1152308,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:48,61003.68,0.33982,61003.69,1.24409,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20730.2705376,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75894.0806921,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:48,61003.68,0.33903,61003.69,1.23192,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20682.0776304,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75151.6657848,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:49,61003.68,0.34215,61003.69,1.23171,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20872.409112,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75138.85500990001,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:49,61003.68,0.34156,61003.69,1.23171,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20836.416940799998,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75138.85500990001,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:49,61003.68,0.34156,61003.69,1.23171,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,20836.416940799998,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75138.85500990001,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:49,61003.68,0.3451,61003.69,1.23113,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,21052.369968000003,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75103.47286970001,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:50,61003.68,0.3451,61003.69,1.23113,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,21052.369968000003,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75103.47286970001,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:50,61003.68,0.3451,61003.69,1.23085,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,21052.369968000003,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75086.3918365,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:50,61003.68,0.34431,61003.69,1.23085,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,21004.1770608,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75086.3918365,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:50,61003.68,0.34431,61003.69,1.23085,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,21004.1770608,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75086.3918365,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:51,61003.68,0.34431,61003.69,1.23085,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,21004.1770608,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75086.3918365,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
2024-08-11 03:51:51,61003.68,0.34431,61003.69,1.23066,61003.685,61003.68,61003.69,0.004999999997380655,0.005000000004656613,21004.1770608,5874.6331979999995,19995.6682296,65.27307090000001,4608.764562,47.5820748,3147.1163954999997,10.370380800000001,3920.5985399999995,1481.1222472,8059.518179999999,31453.806409900004,20986.0777016,602.076909,6.100053,75074.8011354,1311.57955,21095.082918,1317.0720420000002,3599.23423,5472.0588,6714.7201863,8003.856000000001,19969.6778528,6714.9227151000005,5472.2382,21095.878258,51.2453172,19996.0480618,701.57475,0.010000000002037268
